PersonNumber;FirstName;LastName;FullName;PartyAbbreviation;PartyName;ParlGroupAbbreviation;ParlGroupName;CantonAbbreviation;CantonName;CouncilAbbreviation;CouncilName;Active;DetailLoaded;DateOfBirth;MaritalStatus;NumberOfChildren;BirthPlaceCity;BirthPlaceCanton;Citizenship;Nationality;DateJoining;DateLeaving;DateElection;MilitaryRank;LinksRechts;KonservativLiberal;LiberaleWirtschaft;InnovativerStandort;UnabhaengigeStromversorgung;StaerkeResilienz;SchlankerStaat;HasAnalysis
4058;Jacqueline;Badran;Jacqueline Badran;SP;Sozialdemokratische Partei der Schweiz;S;Sozialdemokratische Fraktion;ZH;Zürich;NR;Nationalrat;1;1;1961-11-12;;;Sydney;;Auswil (BE),Zürich (ZH);Schweiz,Australien;2023-12-04;;2023-10-22;;-0.80;0.30;0.10;0.20;0.40;0.30;0.10;1
11508;Maya;Bally;Maya Bally;M-E;Die Mitte;M-E;Die Mitte-Fraktion. Die Mitte. EVP.;AG;Aargau;NR;Nationalrat;1;0;1978-06-19;;;Zürich;ZH;Boussens (VD);Schweiz;2023-12-04;;2023-10-22;-;-0.20;0.30;0.40;0.50;0.60;0.40;0.30;1
10804;Bettina;Balmer;Bettina Balmer;FDP-Liberale;FDP.Die Liberalen;RL;FDP-Liberale Fraktion;ZH;Zürich;NR;Nationalrat;1;1;1966-04-19;verheiratet;3;Basel;BS;;Schweiz;2023-12-04;;2023-10-22;-;0.40;0.60;0.70;0.60;0.50;0.50;0.60;1
10818;Nicole;Barandun;Nicole Barandun;M-E;Die Mitte;M-E;Die Mitte-Fraktion. Die Mitte. EVP.;ZH;Zürich;NR;Nationalrat;1;0;1971-09-09;;;Zürich;ZH;Domleschg (Feldis/Veulden) (GR),Fribourg (FR);Schweiz;2023-12-04;;2023-10-22;-;0.30;0.20;0.70;0.60;0.50;0.60;0.40;1
4187;Philippe;Bauer;Philippe Bauer;FDP-Liberale;;RL;;NE;;SR;Ständerat;0;0;;;;;;;;;;;;0.70;0.30;0.80;0.60;0.50;0.60;0.80;1
4247;Kilian;Baumann;Kilian Baumann;GRÜNE;GRÜNE Schweiz;G;Grüne Fraktion;BE;Bern;NR;Nationalrat;1;1;1980-12-14;;3;Bern;--;Wileroltigen (BE);Schweiz;2023-12-04;;2023-10-22;;-0.80;0.70;0.20;0.40;0.80;0.20;0.10;1
4238;Elisabeth;Baume-Schneider;Elisabeth Baume-Schneider;SP;Sozialdemokratische Partei der Schweiz;;;JU;Jura;BR;Bundesrat;1;0;1976-01-10;;;St. Imier;BE;Les Breuleux (JU);Schweiz;2024-01-01;;2022-12-07;-;-0.70;0.40;0.20;0.50;0.30;0.20;0.10;1
1138;Martin;Bäumle;Martin Bäumle;glp;;GL;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.10;0.70;0.70;0.80;0.80;0.30;0.60;1
4213;Samuel;Bendahan;Samuel Bendahan;SP;Sozialdemokratische Partei der Schweiz;S;Sozialdemokratische Fraktion;VD;Waadt;NR;Nationalrat;1;0;1980-06-11;;;Lausanne;VD;Seengen (AG);Schweiz;2023-12-04;;2023-10-22;;-0.80;0.60;0.10;0.40;0.30;0.20;0.10;1
16109;Rudi;Berli;Rudi Berli;GRÜNE;GRÜNE Schweiz;G;Grüne Fraktion;GE;Genf;NR;Nationalrat;1;1;1963-01-26;verheiratet;3;Zug;ZG;Hausen am Albis (ZH);Schweiz;2025-12-01;;2023-10-22;-;-0.80;0.70;0.20;0.30;0.60;0.20;0.10;1
4102;Kathrin;Bertschy;Kathrin Bertschy;glp;Grünliberale Partei;GL;Grünliberale Fraktion;BE;Bern;NR;Nationalrat;1;0;1979-07-02;;;Thun;BE;Bern (BE),Düdingen (FR);Schweiz;2023-12-04;;2023-10-22;;-0.30;0.80;0.70;0.80;0.90;0.60;0.40;1
4249;Marianne;Binder-Keller;Marianne Binder-Keller;M-E;Die Mitte;M-E;Die Mitte-Fraktion. Die Mitte. EVP.;AG;Aargau;SR;Ständerat;1;0;1981-07-20;verheiratet;2;Zürich;ZH;Baden (AG),Zurzach (Bad Zurzach) (AG),Untersiggenthal (AG);Schweiz;2023-12-04;;2023-11-19;-;0.30;-0.20;0.60;0.70;0.80;0.80;0.40;1
4250;Martina;Bircher;Martina Bircher;SVP;Schweizerische Volkspartei;V;Fraktion der Schweizerischen Volkspartei;AG;Aargau;NR;Nationalrat;0;0;1984-04-13;;;Zürich;ZH;Sins (AG);Schweiz;2023-12-04;2024-12-15;2023-10-22;;0.80;-0.40;0.60;0.30;0.50;0.70;0.90;1
3871;Pirmin;Bischof;Pirmin Bischof;M-E;Die Mitte;M-E;Die Mitte-Fraktion. Die Mitte. EVP.;SO;Solothurn;SR;Ständerat;1;0;1980-11-08;;;Solothurn;SO;Eggersriet (SG),Grub (AR);Schweiz;2023-12-04;;2023-10-22;Soldat;0.10;-0.20;0.60;0.70;0.50;0.40;0.30;1
4334;Thomas;Bläsi;Thomas Bläsi;SVP;Schweizerische Volkspartei;V;Fraktion der Schweizerischen Volkspartei;GE;Genf;NR;Nationalrat;1;0;1971-04-17;;;F-18000 Bourges;--;Genf (GE);Schweiz,Frankreich;2023-12-04;;2023-10-22;-;0.80;-0.70;0.70;0.50;0.60;0.80;0.80;1
10816;Dominik;Blunschy;Dominik Blunschy;M-E;Die Mitte;M-E;Die Mitte-Fraktion. Die Mitte. EVP.;SZ;Schwyz;NR;Nationalrat;1;0;1987-10-27;;;Schwyz;SZ;Niederrohrdorf (AG);Schweiz;2023-12-04;;2023-10-22;-;0.10;0.30;0.70;0.80;0.60;0.50;0.60;1
4230;Philipp Matthias;Bregy;Philipp Matthias Bregy;M-E;;M-E;;VS;;NR;Nationalrat;1;0;;;;;;;;;;;;0.35;-0.40;0.60;0.50;0.40;0.60;0.70;1
4315;Florence;Brenzikofer;Florence Brenzikofer;GRÜNE;;G;;BL;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.20;0.60;0.90;0.10;0.20;1
10813;Simona;Brizzi;Simona Brizzi;SP;;S;;AG;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.60;0.30;0.60;0.70;0.20;0.10;1
10805;Pascal;Broulis;Pascal Broulis;FDP-Liberale;FDP.Die Liberalen;RL;FDP-Liberale Fraktion;VD;Waadt;SR;Ständerat;1;0;1974-10-01;;;Sainte-Croix;VD;Sainte-Croix (VD);Schweiz,Griechenland;2023-12-04;;2023-11-12;-;0.50;0.60;0.80;0.70;0.60;0.50;0.70;1
15601;Severin;Brüngger;Severin Brüngger;FDP-Liberale;FDP.Die Liberalen;RL;FDP-Liberale Fraktion;SH;Schaffhausen;SR;Ständerat;1;0;1978-04-18;;;Winterthur;ZH;Volketswil (ZH);Schweiz;2025-09-08;;2025-06-29;Soldat;0.60;0.40;0.80;0.70;0.70;0.60;0.80;1
4025;Roland Rino;Büchel;Roland Rino Büchel;SVP;;V;;SG;;NR;Nationalrat;1;0;;;;;;;;;;;;0.85;-0.70;0.70;0.60;0.80;0.80;0.80;1
4156;Michaël;Buffat;Michaël Buffat;SVP;Schweizerische Volkspartei;V;Fraktion der Schweizerischen Volkspartei;VD;Waadt;NR;Nationalrat;1;0;1979-09-27;;;Yverdon-les-Bains;--;Vuarrens (VD);Schweiz;2023-12-04;;2023-10-22;Fourier;0.85;-0.75;0.70;0.40;0.80;0.90;0.80;1
4157;Manfred;Bühler;Manfred Bühler;SVP;;V;;BE;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.70;0.80;0.60;0.70;0.80;0.90;1
4101;Christine;Bulliard-Marbach;Christine Bulliard-Marbach;M-E;Die Mitte;M-E;Die Mitte-Fraktion. Die Mitte. EVP.;FR;Freiburg;NR;Nationalrat;1;0;1980-03-22;verheiratet;3;Bern;--;Gibloux (FR);Schweiz;2023-12-04;;2023-10-22;-;-0.10;-0.20;0.40;0.60;0.70;0.40;0.30;1
4158;Thomas;Burgherr;Thomas Burgherr;SVP;Schweizerische Volkspartei;V;Fraktion der Schweizerischen Volkspartei;AG;Aargau;NR;Nationalrat;1;0;1977-06-03;;;Zofingen;--;Schmiedrued (AG);Schweiz;2023-12-04;;2023-10-22;Soldat;0.80;-0.70;0.95;0.60;0.70;0.85;0.90;1
10845;Roman;Bürgi;Roman Bürgi;SVP;;V;;SZ;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.60;0.90;0.60;0.70;0.90;0.90;1
10819;Yvonne;Bürgin;Yvonne Bürgin;M-E;;M-E;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;0.30;-0.20;0.70;0.50;0.40;0.80;0.70;1
4189;Thierry;Burkart;Thierry Burkart;FDP-Liberale;FDP.Die Liberalen;RL;FDP-Liberale Fraktion;AG;Aargau;SR;Ständerat;1;1;1975-08-21;;;Baden;AG;Baden (AG),Mühlau (AG);Schweiz;2023-12-04;;2023-10-22;Major;0.60;0.40;0.90;0.80;0.90;0.90;0.80;1
10850;Didier;Calame;Didier Calame;SVP;;V;;NE;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;0.30;0.70;0.50;0.70;0.60;0.80;1
10828;Hasan;Candan;Hasan Candan;SP;Sozialdemokratische Partei der Schweiz;S;Sozialdemokratische Fraktion;LU;Luzern;NR;Nationalrat;1;0;1985-02-24;;;Luzern;LU;Gersau (SZ);Schweiz,Türkei;2023-12-04;;2023-10-22;-;-0.80;0.70;0.20;0.30;0.60;0.20;0.10;1
4070;Martin;Candinas;Martin Candinas;M-E;Die Mitte;M-E;Die Mitte-Fraktion. Die Mitte. EVP.;GR;Graubünden;NR;Nationalrat;1;0;1980-08-20;;3;Ilanz;GR;Sumvitg (GR);Schweiz;2023-12-04;;2023-10-22;-;0.10;-0.30;0.40;0.60;0.70;0.80;0.40;1
4075;Andrea;Caroni;Andrea Caroni;FDP-Liberale;FDP.Die Liberalen;RL;FDP-Liberale Fraktion;AR;Appenzell A.-Rh.;SR;Ständerat;1;0;1980-04-19;;2;St. Gallen;SG;Mendrisio (TI),Grub (AR);Schweiz;2023-12-04;;2023-10-22;Oberst;0.60;0.80;0.90;0.80;0.70;0.60;0.80;1
3828;Ignazio;Cassis;Ignazio Cassis;FDP-Liberale;;;;TI;;BR;Bundesrat;1;0;;;;;;;;;;;;0.30;0.40;0.80;0.70;0.40;0.60;0.70;1
10817;Isabelle;Chappuis;Isabelle Chappuis;M-E;Die Mitte;M-E;Die Mitte-Fraktion. Die Mitte. EVP.;VD;Waadt;NR;Nationalrat;1;0;1971-03-17;verheiratet;3;Neuchâtel;NE;Jorat-Mézières (VD);Schweiz;2023-12-04;;2023-10-22;-;0.10;0.30;0.70;0.90;0.60;0.80;0.40;1
4325;Isabelle;Chassot;Isabelle Chassot;M-E;Die Mitte;M-E;Die Mitte-Fraktion. Die Mitte. EVP.;FR;Freiburg;SR;Ständerat;1;0;1974-10-07;;;Morges;VD;Siviriez (FR);Schweiz;2023-12-04;;2023-11-12;-;-0.10;0.30;0.40;0.70;0.60;0.40;0.30;1
4159;Marco;Chiesa;Marco Chiesa;SVP;;V;;TI;;SR;Ständerat;1;0;;;;;;;;;;;;0.80;-0.70;0.30;0.20;0.70;0.80;0.70;1
15304;Clarence;Chollet;Clarence Chollet;GRÜNE;;G;;NE;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.20;0.40;0.70;0.10;0.10;1
4252;Katja;Christ;Katja Christ;glp;;GL;;BS;;NR;Nationalrat;1;0;;;;;;;;;;;;0.10;0.70;0.80;0.80;0.70;0.40;0.70;1
4253;Christophe;Clivaz;Christophe Clivaz;GRÜNE;;G;;VS;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.60;0.20;0.40;0.70;0.20;0.10;1
4254;Damien;Cottier;Damien Cottier;FDP-Liberale;;RL;;NE;;NR;Nationalrat;1;0;;;;;;;;;;;;0.40;0.60;0.90;0.80;0.50;0.70;0.80;1
4332;Mathilde;Crevoisier Crelier;Mathilde Crevoisier Crelier;SP;;S;;JU;;SR;Ständerat;1;0;;;;;;;;;;;;-0.80;0.60;0.20;0.40;0.70;0.20;0.10;1
4219;Brigitte;Crottaz;Brigitte Crottaz;SP;;S;;VD;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.20;0.30;0.70;0.20;0.10;1
4255;Christian;Dandrès;Christian Dandrès;SP;;S;;GE;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.10;0.30;0.40;0.20;0.10;1
4051;Thomas;de Courten;Thomas de Courten;SVP;;V;;BL;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.70;0.80;0.70;0.50;0.80;0.90;1
4201;Denis;de la Reussille;Denis de la Reussille;PdA;Partei der Arbeit der Schweiz;G;Grüne Fraktion;NE;Neuenburg;NR;Nationalrat;0;0;1979-03-11;;;La Chaux-de-Fonds;NE;Tramelan (BE);Schweiz;2019-12-02;2023-12-03;2019-10-20;Soldat;-1.00;-0.80;0.00;0.30;0.40;0.00;0.00;1
4256;Simone;de Montmollin;Simone de Montmollin;FDP-Liberale;;RL;;GE;;NR;Nationalrat;1;0;;;;;;;;;;;;0.40;0.60;0.80;0.80;0.60;0.50;0.70;1
4257;Jacqueline;de Quattro;Jacqueline de Quattro;FDP-Liberale;;RL;;VD;;NR;Nationalrat;1;0;;;;;;;;;;;;0.40;0.30;0.80;0.70;0.80;0.90;0.70;1
14105;Linda;De Ventura;Linda De Ventura;SP;;S;;SH;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.10;0.40;0.60;0.30;0.10;1
4160;Marcel;Dettling;Marcel Dettling;SVP;Schweizerische Volkspartei;V;Fraktion der Schweizerischen Volkspartei;SZ;Schwyz;NR;Nationalrat;1;0;1981-02-01;;;Einsiedeln;SZ;Oberiberg (SZ);Schweiz;2024-05-09;;2023-10-22;;0.85;-0.80;0.70;0.40;0.80;0.90;0.90;1
4151;Josef;Dittli;Josef Dittli;FDP-Liberale;FDP.Die Liberalen;RL;FDP-Liberale Fraktion;UR;Uri;SR;Ständerat;1;0;1982-09-23;verheiratet;2;Attinghausen;UR;Attinghausen (UR);Schweiz;2023-12-04;;2023-10-22;Oberst i Gst;0.70;0.60;0.90;0.80;0.80;0.90;0.80;1
4190;Marcel;Dobler;Marcel Dobler;FDP-Liberale;;RL;;SG;;NR;Nationalrat;1;0;;;;;;;;;;;;0.70;0.60;0.90;0.90;0.60;0.70;0.80;1
10829;Martine;Docourt;Martine Docourt;SP;;S;;NE;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.20;0.40;0.60;0.20;0.10;1
10815;Regina;Durrer-Knobel;Regina Durrer-Knobel;M-E;;M-E;;NW;;NR;Nationalrat;1;0;;;;;;;;;;;;0.10;0.20;0.60;0.70;0.50;0.30;0.40;1
4229;Mike;Egger;Mike Egger;SVP;;V;;SG;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.60;0.70;0.60;0.80;0.80;0.90;1
4055;Stefan;Engler;Stefan Engler;M-E;Die Mitte;M-E;Die Mitte-Fraktion. Die Mitte. EVP.;GR;Graubünden;SR;Ständerat;1;1;1960-05-30;;;Chur;GR;Albula/Alvra (Surava) (GR),Albula/Alvra (Brienz/Brinzauls (GR);Schweiz;2023-12-04;;2023-10-22;Hauptmann;0.30;-0.60;0.70;0.60;0.70;0.50;0.40;1
4206;Erich;Ettlin;Erich Ettlin;M-E;Die Mitte;M-E;Die Mitte-Fraktion. Die Mitte. EVP.;OW;Obwalden;SR;Ständerat;1;1;1962-05-30;verheiratet;2;Kerns;OW;Kerns (OW);Schweiz;2023-12-04;;2023-10-22;Soldat;0.30;0.00;0.60;0.50;0.30;0.50;0.60;1
4259;Alex;Farinelli;Alex Farinelli;FDP-Liberale;;RL;;TI;;NR;Nationalrat;1;0;;;;;;;;;;;;0.40;0.50;0.80;0.60;0.50;0.60;0.70;1
4056;Daniel;Fässler;Daniel Fässler;M-E;Die Mitte;M-E;Die Mitte-Fraktion. Die Mitte. EVP.;AI;Appenzell I.-Rh.;SR;Ständerat;1;0;1979-05-13;verheiratet;3;Appenzell;AI;Appenzell (AI);Schweiz;2023-12-04;;2023-10-22;;0.40;-0.30;0.70;0.50;0.60;0.50;0.60;1
4195;Laurence;Fehlmann Rielle;Laurence Fehlmann Rielle;SP;;S;;GE;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.60;0.10;0.30;0.40;0.20;0.10;1
10833;Nina;Fehr Düsel;Nina Fehr Düsel;SVP;;V;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.30;0.70;0.60;0.80;0.80;0.80;1
4077;Olivier;Feller;Olivier Feller;FDP-Liberale;;RL;;VD;;NR;Nationalrat;1;0;;;;;;;;;;;;0.40;0.60;0.70;0.70;0.50;0.60;0.70;1
4326;Benjamin;Fischer;Benjamin Fischer;SVP;Schweizerische Volkspartei;V;Fraktion der Schweizerischen Volkspartei;ZH;Zürich;NR;Nationalrat;1;1;1991-08-16;verheiratet;3;Uster;--;Volketswil (ZH);Schweiz;2023-12-04;;2023-10-22;Hauptmann;0.80;-0.70;0.70;0.60;0.80;0.90;0.70;1
4260;Fabien;Fivaz;Fabien Fivaz;GRÜNE;;G;;NE;;SR;Ständerat;1;0;;;;;;;;;;;;-0.80;0.70;0.20;0.60;0.70;0.20;0.10;1
4059;Beat;Flach;Beat Flach;glp;;GL;;AG;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.30;0.70;0.80;0.80;0.90;0.60;0.60;1
1122;Kurt;Fluri;Kurt Fluri;FDP-Liberale;;RL;;SO;;NR;Nationalrat;0;0;;;;;;;;;;;;0.50;0.30;0.80;0.70;0.40;0.60;0.70;1
11505;Giorgio;Fonio;Giorgio Fonio;M-E;Die Mitte;M-E;Die Mitte-Fraktion. Die Mitte. EVP.;TI;Tessin;NR;Nationalrat;1;0;1984-07-01;;4;Locarno;TI;Samedan (GR);Schweiz;2023-12-04;;2023-10-22;;-0.40;0.20;0.30;0.40;0.40;0.30;0.20;1
10835;Sylvain;Freymond;Sylvain Freymond;SVP;;V;;VD;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.70;0.60;0.40;0.70;0.80;0.80;1
4074;Pierre-Alain;Fridez;Pierre-Alain Fridez;SP;;S;;JU;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.60;0.20;0.40;0.50;0.10;0.10;1
4131;Claudia;Friedl;Claudia Friedl;SP;;S;;SG;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.20;0.40;0.70;0.30;0.10;1
4261;Esther;Friedli;Esther Friedli;SVP;Schweizerische Volkspartei;V;Fraktion der Schweizerischen Volkspartei;SG;St. Gallen;SR;Ständerat;1;0;1977-06-04;verheiratet;0;Bern;--;Lützelflüh (BE),Escholzmatt-Marbach (LU);Schweiz;2023-12-04;;2023-10-22;-;0.80;-0.70;0.70;0.60;0.80;0.70;0.80;1
4262;Tamara;Funiciello;Tamara Funiciello;SP;Sozialdemokratische Partei der Schweiz;S;Sozialdemokratische Fraktion;BE;Bern;NR;Nationalrat;1;0;1990-03-20;;;Bern;--;Gurbrü (BE);Schweiz,Italien;2023-12-04;;2023-10-22;-;-0.95;0.85;0.05;0.15;0.25;0.10;0.00;1
4263;Andreas;Gafner;Andreas Gafner;EDU;;V;;BE;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.80;0.70;0.40;0.60;0.80;0.90;1
15004;Benoît;Gaillard;Benoît Gaillard;SP;;S;;VD;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.40;0.10;0.30;0.40;0.20;0.10;1
4306;Johanna;Gapany;Johanna Gapany;FDP-Liberale;FDP.Die Liberalen;RL;FDP-Liberale Fraktion;FR;Freiburg;SR;Ständerat;1;0;1988-07-25;;;Riaz;FR;Echarlens (FR);Schweiz;2023-12-04;;2023-11-12;;0.30;0.40;0.80;0.70;0.60;0.50;0.70;1
10848;Walter;Gartmann;Walter Gartmann;SVP;;V;;SG;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.70;0.80;0.60;0.70;0.90;0.80;1
825;Hannes;Germann;Hannes Germann;SVP;;V;;SH;;SR;Ständerat;1;0;;;;;;;;;;;;0.80;-0.50;0.90;0.80;0.60;0.70;0.90;1
4265;Anna;Giacometti;Anna Giacometti;FDP-Liberale;FDP.Die Liberalen;RL;FDP-Liberale Fraktion;GR;Graubünden;NR;Nationalrat;1;0;1978-04-26;;;Samedan;--;Bregaglia (GR);Schweiz;2023-12-04;;2023-10-22;;0.30;0.70;0.80;0.70;0.60;0.70;0.80;1
10807;Simone;Gianini;Simone Gianini;FDP-Liberale;;RL;;TI;;NR;Nationalrat;1;0;;;;;;;;;;;;0.60;0.30;0.80;0.60;0.50;0.50;0.70;1
4266;Benjamin;Giezendanner;Benjamin Giezendanner;SVP;;V;;AG;;NR;Nationalrat;1;0;;;;;;;;;;;;0.70;-0.20;0.80;0.60;0.70;0.80;0.70;1
3882;Bastien;Girod;Bastien Girod;GRÜNE;;G;;ZH;;NR;Nationalrat;0;0;;;;;;;;;;;;-0.70;0.40;0.30;0.70;0.80;0.20;0.10;1
4161;Andreas;Glarner;Andreas Glarner;SVP;;V;;AG;;NR;Nationalrat;1;0;;;;;;;;;;;;0.95;-0.90;0.75;0.25;0.45;0.85;0.90;1
4093;Balthasar;Glättli;Balthasar Glättli;GRÜNE;;G;;ZH;;NR;Nationalrat;1;0;;;;;;;;;;;;-0.80;0.70;0.20;0.60;0.80;0.10;0.10;1
14803;Christian;Glur;Christian Glur;SVP;;V;;AG;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.70;0.70;0.50;0.60;0.80;0.80;1
4181;Andrea;Gmür-Schönenberger;Andrea Gmür-Schönenberger;M-E;Die Mitte;M-E;Die Mitte-Fraktion. Die Mitte. EVP.;LU;Luzern;SR;Ständerat;1;0;1975-06-18;verheiratet;4;Wattwil;SG;Luzern (LU),Amden (SG),Kirchberg (SG) (SG);Schweiz;2023-12-04;;2023-10-22;;0.20;-0.30;0.60;0.50;0.40;0.80;0.30;1
10809;Nadine;Gobet;Nadine Gobet;FDP-Liberale;;RL;;FR;;NR;Nationalrat;1;0;;;;;;;;;;;;0.60;0.40;0.90;0.70;0.50;0.50;0.80;1
4137;Roger;Golay;Roger Golay;MCG;;V;;GE;;NR;Nationalrat;1;0;;;;;;;;;;;;0.70;-0.60;0.40;0.20;0.30;0.80;0.60;1
4116;Petra;Gössi;Petra Gössi;FDP-Liberale;;RL;;SZ;;SR;Ständerat;1;0;;;;;;;;;;;;0.40;0.60;0.80;0.70;0.60;0.50;0.70;1
4335;Michael;Götte;Michael Götte;SVP;Schweizerische Volkspartei;V;Fraktion der Schweizerischen Volkspartei;SG;St. Gallen;NR;Nationalrat;1;0;1979-06-16;verheiratet;3;St. Gallen;SG;Wildhaus-Alt St. Johann, Wildh (SG);Schweiz;2023-12-04;;2023-10-22;Oberst;0.80;-0.60;0.80;0.60;0.70;0.80;0.80;1
4319;Michael;Graber;Michael Graber;SVP;;V;;VS;;NR;Nationalrat;1;0;;;;;;;;;;;;0.80;-0.70;0.80;0.40;0.60;0.60;0.90;1
806;Maya;Graf;Maya Graf;GRÜNE;;G;;BL;;SR;Ständerat;1;0;;;;;;;;;;;;-0.80;0.70;0.20;0.60;0.80;0.10;0.10;1
4267;Corina;Gredig;Corina Gredig;glp;Grünliberale Partei;GL;Grünliberale Fraktion;ZH;Zürich;NR;Nationalrat;1;0;1987-09-08;;;Zürich;ZH;Schenkon (LU);Schweiz;2023-12-11;;2023-10-22;;-0.10;0.70;0.70;0.90;0.80;0.50;0.40;1
